Date,Home,Away,HG,AG,League,Season,Country,Round,Status,SourceLeagueName,SourceLeagueId
2026-03-23,FC Juarez,Tigres UANL,2,1,Liga MX,2025,,,FT,Primera Division Liga MX,10415
2026-03-22,Monterrey,Chivas Guadalajara,2,3,Liga MX,2025,,,FT,Primera Division Liga MX,10415
2026-03-22,Atletico San Luis,Club Leon,1,2,Liga MX,2025,,,FT,Primera Division Liga MX,10415
2026-03-22,Pumas U.N.A.M.,Club America,1,0,Liga MX,2025,,,FT,Primera Division Liga MX,10415
2026-03-22,Santos Laguna,Puebla,2,1,Liga MX,2025,,,FT,Primera Division Liga MX,10415
2026-03-22,Pachuca,Toluca,1,1,Liga MX,2025,,,FT,Primera Division Liga MX,10415
2026-03-21,Atlas,Queretaro FC,0,0,Liga MX,2025,,,FT,Primera Division Liga MX,10415
2026-03-21,Mazatlan FC,CDSyC Cruz Azul,1,1,Liga MX,2025,,,FT,Primera Division Liga MX,10415
2026-03-21,Necaxa,Club Tijuana,3,0,Liga MX,2025,,,FT,Primera Division Liga MX,10415
2026-03-19,Chivas Guadalajara,Club Leon,5,0,Liga MX,2025,,,FT,Primera Division Liga MX,10415
2026-03-16,Club America,Mazatlan FC,2,0,Liga MX,2025,,,FT,Primera Division Liga MX,10415
2026-03-15,Toluca,Atlas,1,1,Liga MX,2025,,,FT,Primera Division Liga MX,10415
2026-03-15,Club Leon,Club Tijuana,0,3,Liga MX,2025,,,FT,Primera Division Liga MX,10415
2026-03-15,Tigres UANL,Queretaro FC,0,0,Liga MX,2025,,,FT,Primera Division Liga MX,10415
2026-03-15,Pumas U.N.A.M.,CDSyC Cruz Azul,2,2,Liga MX,2025,,,FT,Primera Division Liga MX,10415
2026-03-14,Chivas Guadalajara,Santos Laguna,3,0,Liga MX,2025,,,FT,Primera Division Liga MX,10415
2026-03-14,Atletico San Luis,Pachuca,1,1,Liga MX,2025,,,FT,Primera Division Liga MX,10415
2026-03-14,FC Juarez,Monterrey,2,2,Liga MX,2025,,,FT,Primera Division Liga MX,10415
2026-03-14,Puebla,Necaxa,0,0,Liga MX,2025,,,FT,Primera Division Liga MX,10415
2026-03-09,Club Tijuana,Santos Laguna,1,2,Liga MX,2025,,,FT,Primera Division Liga MX,10415
2026-03-08,Tigres UANL,Monterrey,1,0,Liga MX,2025,,,FT,Primera Division Liga MX,10415
2026-03-08,Pachuca,Puebla,2,1,Liga MX,2025,,,FT,Primera Division Liga MX,10415
2026-03-08,Toluca,FC Juarez,3,1,Liga MX,2025,,,FT,Primera Division Liga MX,10415
2026-03-08,Atlas,Chivas Guadalajara,1,2,Liga MX,2025,,,FT,Primera Division Liga MX,10415
2026-03-07,Necaxa,Pumas U.N.A.M.,0,1,Liga MX,2025,,,FT,Primera Division Liga MX,10415
2026-03-07,Mazatlan FC,Club Leon,4,2,Liga MX,2025,,,FT,Primera Division Liga MX,10415
2026-03-07,CDSyC Cruz Azul,Atletico San Luis,3,0,Liga MX,2025,,,FT,Primera Division Liga MX,10415
2026-03-07,Queretaro FC,Club America,1,2,Liga MX,2025,,,FT,Primera Division Liga MX,10415
2026-03-05,Club America,FC Juarez,1,2,Liga MX,2025,,,FT,Primera Division Liga MX,10415
2026-03-05,Atlas,Club Tijuana,2,1,Liga MX,2025,,,FT,Primera Division Liga MX,10415
2026-03-05,Puebla,Tigres UANL,3,1,Liga MX,2025,,,FT,Primera Division Liga MX,10415
