Date,Home,Away,HG,AG,League,Season,Country,Round,Status,SourceLeagueName,SourceLeagueId
2026-03-15,Red Bull Salzburg,Rapid Wien,0,1,Bundesliga,2025,,,FT,Austrian Bundesliga,133
2026-03-14,Rheindorf Altach,FC Blau Weiss Linz,3,1,Bundesliga,2025,,,FT,Austrian Bundesliga,133
2026-03-14,Grazer AK,Wolfsberger AC,2,0,Bundesliga,2025,,,FT,Austrian Bundesliga,133
2026-03-14,SV Ried,WSG Swarovski Tirol,2,1,Bundesliga,2025,,,FT,Austrian Bundesliga,133
2026-03-13,LASK Linz,TSV Hartberg,0,0,Bundesliga,2025,,,FT,Austrian Bundesliga,133
2026-03-08,WSG Swarovski Tirol,Grazer AK,2,0,Bundesliga,2025,,,FT,Austrian Bundesliga,133
2026-03-08,Sturm Graz,Rheindorf Altach,2,0,Bundesliga,2025,,,FT,Austrian Bundesliga,133
2026-03-08,Rapid Wien,Red Bull Salzburg,1,0,Bundesliga,2025,,,FT,Austrian Bundesliga,133
2026-03-08,SV Ried,Austria Wien,0,2,Bundesliga,2025,,,FT,Austrian Bundesliga,133
2026-03-08,LASK Linz,Wolfsberger AC,3,1,Bundesliga,2025,,,FT,Austrian Bundesliga,133
2026-03-08,TSV Hartberg,FC Blau Weiss Linz,1,1,Bundesliga,2025,,,FT,Austrian Bundesliga,133
2026-03-01,Grazer AK,SV Ried,2,1,Bundesliga,2025,,,FT,Austrian Bundesliga,133
2026-03-01,Rheindorf Altach,Rapid Wien,1,1,Bundesliga,2025,,,FT,Austrian Bundesliga,133
2026-03-01,Austria Wien,LASK Linz,2,2,Bundesliga,2025,,,FT,Austrian Bundesliga,133
2026-03-01,FC Blau Weiss Linz,WSG Swarovski Tirol,2,3,Bundesliga,2025,,,FT,Austrian Bundesliga,133
2026-03-01,Red Bull Salzburg,TSV Hartberg,0,0,Bundesliga,2025,,,FT,Austrian Bundesliga,133
2026-03-01,Wolfsberger AC,Sturm Graz,2,2,Bundesliga,2025,,,FT,Austrian Bundesliga,133
2026-02-22,LASK Linz,Red Bull Salzburg,1,5,Bundesliga,2025,,,FT,Austrian Bundesliga,133
2026-02-22,WSG Swarovski Tirol,SV Ried,1,1,Bundesliga,2025,,,FT,Austrian Bundesliga,133
2026-02-22,Sturm Graz,FC Blau Weiss Linz,1,0,Bundesliga,2025,,,FT,Austrian Bundesliga,133
2026-02-21,Rapid Wien,Wolfsberger AC,2,0,Bundesliga,2025,,,FT,Austrian Bundesliga,133
2026-02-21,TSV Hartberg,Grazer AK,1,0,Bundesliga,2025,,,FT,Austrian Bundesliga,133
2026-02-21,Rheindorf Altach,Austria Wien,2,1,Bundesliga,2025,,,FT,Austrian Bundesliga,133
2026-02-15,FC Blau Weiss Linz,Wolfsberger AC,2,1,Bundesliga,2025,,,FT,Austrian Bundesliga,133
2026-02-15,Grazer AK,Red Bull Salzburg,1,1,Bundesliga,2025,,,FT,Austrian Bundesliga,133
2026-02-15,Austria Wien,Rapid Wien,2,0,Bundesliga,2025,,,FT,Austrian Bundesliga,133
2026-02-14,WSG Swarovski Tirol,Sturm Graz,1,0,Bundesliga,2025,,,FT,Austrian Bundesliga,133
2026-02-14,SV Ried,LASK Linz,1,1,Bundesliga,2025,,,FT,Austrian Bundesliga,133
2026-02-14,TSV Hartberg,Rheindorf Altach,0,0,Bundesliga,2025,,,FT,Austrian Bundesliga,133
2026-02-08,Sturm Graz,SV Ried,1,0,Bundesliga,2025,,,FT,Austrian Bundesliga,133
2026-02-08,Rheindorf Altach,FC Blau Weiss Linz,1,0,Bundesliga,2025,,,FT,Austrian Bundesliga,133
2026-02-08,Wolfsberger AC,Grazer AK,2,2,Bundesliga,2025,,,FT,Austrian Bundesliga,133
2026-02-07,LASK Linz,WSG Swarovski Tirol,1,0,Bundesliga,2025,,,FT,Austrian Bundesliga,133
2026-02-07,Rapid Wien,TSV Hartberg,1,1,Bundesliga,2025,,,FT,Austrian Bundesliga,133
2026-02-06,Red Bull Salzburg,Austria Wien,0,2,Bundesliga,2025,,,FT,Austrian Bundesliga,133
2025-12-14,Austria Wien,Sturm Graz,3,1,Bundesliga,2025,,,FT,Austrian Bundesliga,133
2025-12-14,Red Bull Salzburg,Wolfsberger AC,2,1,Bundesliga,2025,,,FT,Austrian Bundesliga,133
2025-12-14,FC Blau Weiss Linz,Rapid Wien,1,1,Bundesliga,2025,,,FT,Austrian Bundesliga,133
2025-12-13,TSV Hartberg,WSG Swarovski Tirol,2,1,Bundesliga,2025,,,FT,Austrian Bundesliga,133
2025-12-13,SV Ried,Rheindorf Altach,3,0,Bundesliga,2025,,,FT,Austrian Bundesliga,133
2025-12-13,Grazer AK,LASK Linz,1,2,Bundesliga,2025,,,FT,Austrian Bundesliga,133
2025-12-07,Sturm Graz,Grazer AK,2,1,Bundesliga,2025,,,FT,Austrian Bundesliga,133
2025-12-07,Wolfsberger AC,Austria Wien,2,1,Bundesliga,2025,,,FT,Austrian Bundesliga,133
2025-12-07,WSG Swarovski Tirol,Rheindorf Altach,0,3,Bundesliga,2025,,,FT,Austrian Bundesliga,133
2025-12-06,Rapid Wien,SV Ried,1,2,Bundesliga,2025,,,FT,Austrian Bundesliga,133
2025-12-06,TSV Hartberg,LASK Linz,2,2,Bundesliga,2025,,,FT,Austrian Bundesliga,133
2025-12-06,FC Blau Weiss Linz,Red Bull Salzburg,0,2,Bundesliga,2025,,,FT,Austrian Bundesliga,133
2025-12-03,Sturm Graz,WSG Swarovski Tirol,1,3,Bundesliga,2025,,,FT,Austrian Bundesliga,133
2025-11-30,LASK Linz,Rapid Wien,3,0,Bundesliga,2025,,,FT,Austrian Bundesliga,133
2025-11-30,Rheindorf Altach,Red Bull Salzburg,1,1,Bundesliga,2025,,,FT,Austrian Bundesliga,133
2025-11-30,TSV Hartberg,Sturm Graz,0,1,Bundesliga,2025,,,FT,Austrian Bundesliga,133
2025-11-29,Austria Wien,WSG Swarovski Tirol,0,0,Bundesliga,2025,,,FT,Austrian Bundesliga,133
2025-11-29,Grazer AK,FC Blau Weiss Linz,3,1,Bundesliga,2025,,,FT,Austrian Bundesliga,133
